item,desc_item,localizacion,categoria,fecha,documento,registro,cp,entradas,salidas,unitario,total,cantidad,cost_center,lote
P000001,Producto Performance 1,ALM-1,GRUPO-1,2026-03-03,SA-DOC010000001,1,CP,0.0,42.94,3866.02,-166006.9,-42.94,CC-1,LOT-001
P000002,Producto Performance 2,ALM-2,GRUPO-2,2026-03-04,EA-DOC010000002,2,CP,7.875,0.0,9071.64,71439.16,7.875,CC-2,LOT-002
P000003,Producto Performance 3,ALM-3,GRUPO-3,2026-03-05,EA-DOC010000003,3,CP,45.756,0.0,1831.73,83812.64,45.756,CC-3,LOT-003
P000004,Producto Performance 4,ALM-4,GRUPO-4,2026-03-06,SA-DOC010000004,4,CP,0.0,15.51,9198.11,-142662.69,-15.51,CC-4,LOT-004
P000005,Producto Performance 5,ALM-5,GRUPO-5,2026-03-07,EA-DOC010000005,5,CP,13.506,0.0,12699.4,171518.1,13.506,CC-1,LOT-005
P000006,Producto Performance 6,ALM-1,GRUPO-6,2026-03-08,EA-DOC010000006,6,CP,43.655,0.0,10908.48,476209.69,43.655,CC-2,LOT-006
P000007,Producto Performance 7,ALM-2,GRUPO-7,2026-03-09,SA-DOC010000007,7,CP,0.0,56.781,5593.82,-317622.69,-56.781,CC-3,LOT-007
P000008,Producto Performance 8,ALM-3,GRUPO-8,2026-03-10,EA-DOC010000008,8,CP,51.599,0.0,10041.51,518131.87,51.599,CC-4,LOT-008
P000009,Producto Performance 9,ALM-4,GRUPO-1,2026-03-11,EA-DOC010000009,9,CP,10.504,0.0,8418.95,88432.65,10.504,CC-1,LOT-009
P000010,Producto Performance 10,ALM-5,GRUPO-2,2026-03-12,SA-DOC010000010,10,CP,0.0,52.243,5272.36,-275443.9,-52.243,CC-2,LOT-010
P000011,Producto Performance 11,ALM-1,GRUPO-3,2026-03-13,EA-DOC010000011,11,CP,33.961,0.0,6639.51,225484.4,33.961,CC-3,LOT-011
P000012,Producto Performance 12,ALM-2,GRUPO-4,2026-03-14,EA-DOC010000012,12,CP,13.179,0.0,14998.27,197662.2,13.179,CC-4,LOT-012
P000013,Producto Performance 13,ALM-3,GRUPO-5,2026-03-15,SA-DOC010000013,13,CP,0.0,57.73,6985.93,-403297.74,-57.73,CC-1,LOT-013
P000014,Producto Performance 14,ALM-4,GRUPO-6,2026-03-16,EA-DOC010000014,14,CP,19.88,0.0,14138.96,281082.52,19.88,CC-2,LOT-014
P000015,Producto Performance 15,ALM-5,GRUPO-7,2026-03-17,EA-DOC010000015,15,CP,41.823,0.0,12565.92,525544.47,41.823,CC-3,LOT-015
P000016,Producto Performance 16,ALM-1,GRUPO-8,2026-03-18,SA-DOC010000016,16,CP,0.0,24.588,5837.4,-143529.99,-24.588,CC-4,LOT-016
P000017,Producto Performance 17,ALM-2,GRUPO-1,2026-03-19,EA-DOC010000017,17,CP,37.941,0.0,4152.81,157561.76,37.941,CC-1,LOT-017
P000018,Producto Performance 18,ALM-3,GRUPO-2,2026-03-20,EA-DOC010000018,18,CP,51.632,0.0,2174.2,112258.29,51.632,CC-2,LOT-018
P000019,Producto Performance 19,ALM-4,GRUPO-3,2026-03-21,SA-DOC010000019,19,CP,0.0,9.445,10872.61,-102691.8,-9.445,CC-3,LOT-019
P000020,Producto Performance 20,ALM-5,GRUPO-4,2026-03-22,EA-DOC010000020,20,CP,40.666,0.0,12862.18,523053.41,40.666,CC-4,LOT-020
P000021,Producto Performance 21,ALM-1,GRUPO-5,2026-03-23,EA-DOC010000021,21,CP,3.624,0.0,11631.96,42154.22,3.624,CC-1,LOT-001
P000022,Producto Performance 22,ALM-2,GRUPO-6,2026-03-24,SA-DOC010000022,22,CP,0.0,51.797,14045.49,-727514.25,-51.797,CC-2,LOT-002
P000023,Producto Performance 23,ALM-3,GRUPO-7,2026-03-25,EA-DOC010000023,23,CP,47.679,0.0,2265.53,108018.2,47.679,CC-3,LOT-003
P000024,Producto Performance 24,ALM-4,GRUPO-8,2026-03-26,EA-DOC010000024,24,CP,59.035,0.0,3416.83,201712.56,59.035,CC-4,LOT-004
P000025,Producto Performance 25,ALM-5,GRUPO-1,2026-03-27,SA-DOC010000025,25,CP,0.0,55.095,4858.63,-267686.22,-55.095,CC-1,LOT-005
P000026,Producto Performance 26,ALM-1,GRUPO-2,2026-03-28,EA-DOC010000026,26,CP,57.569,0.0,1617.71,93129.95,57.569,CC-2,LOT-006
P000027,Producto Performance 27,ALM-2,GRUPO-3,2026-03-29,EA-DOC010000027,27,CP,27.267,0.0,13567.72,369951.02,27.267,CC-3,LOT-007
P000028,Producto Performance 28,ALM-3,GRUPO-4,2026-03-30,SA-DOC010000028,28,CP,0.0,39.978,6650.8,-265885.68,-39.978,CC-4,LOT-008
P000029,Producto Performance 29,ALM-4,GRUPO-5,2026-03-03,EA-DOC010000029,29,CP,43.565,0.0,6625.15,288624.66,43.565,CC-1,LOT-009
